ABEV3;AMBEV S/A;alimentos;investing
AGRO3;BrasilAgro;agricultura;investing
ALPA4;Alpargatas S.A.;vestuario;investing
ALSO3;Aliansce Sonae Shopping Centers;exploracao_imoveis;investing
ALUP11;Alupar Investimento SA;financeiro;investing
AMAR3;Lojas Marisa;vestuario;investing
ANIM3;Anima;educacional;investing
ARZZ3;AREZZO;vestuario;investing
AZUL4;AZUL;transporte_logistica;investing
B3SA3;B3;financeiro;investing
BBAS3;BANCO DO BRASIL;financeiro;investing
BBDC3;BRADESCO;financeiro;investing
BBDC4;BRADESCO;financeiro;investing
BBRK3;Brasil Brokers Participacoes S.A.;exploracao_imoveis;investing
BBSE3;BB SEGURIDADE;seguros;investing
BEEF3;Minerva Foods;alimentos;investing
BIDI11;Banco Inter;financeiro;investing
BIDI4;Banco Inter;financeiro;investing
BIOM3;Biomm S.A.;farmacia;investing
BKBR3;Burgue King;alimentos;investing
BPAN4;Banco PAN;financeiro;investing
BRDT3;PETROBRAS BR;petroleo;investing
BRFS3;BRF S/A;alimentos;investing
BRKM5;BRASKEM;quimica;investing
BRML3;BR MALLS PAR;exploracao_imoveis;investing
BRPR3;BR Properties SA;exploracao_imoveis;investing
BRSR6;Barisul;financeiro;investing
BTOW3;B2W DIGITAL;varejo;investing
CAML3;Camil;alimentos;investing
CARD3;CSU Cardsystem SA;tecnologia;investing
CCRO3;CCR S/A;transporte_logistica;investing
CEAB3;C&A;vestuario;investing
CESP6;Cia Energetica de Sao Paulo;energia_eletrica;investing
CIEL3;CIELO;financeiro;investing
CMIG3;Cemig;energia_eletrica;investing
CMIG4;CEMIG;energia_eletrica;investing
COGN3;Kroton Educacional;educacional;investing
CPFE3;CPFL Energia;energia_eletrica;investing
CPLE3;Cia Paranaense de Energia;Energia elÃÂ©trica;investing
CPLE6;Cia Paranaense de Energia;energia_eletrica;investing
CSAN3;COSAN;bens_industriais;investing
CSMG3;Companhia de Saneamento de Minas Gerais;saneamento;investing
CSNA3;SID NACIONAL;metalurgia;investing
CVCB3;CVC BRASIL;turismo;investing
CYRE3;CYRELA REALT;contrucao_civil;investing
DIRR3;Direcional;contrucao_civil;investing
DTEX3;Duratex S.A;bens_industriais;investing
ECOR3;ECORODOVIAS;transporte_logistica;investing
EGIE3;Engie;energia_eletrica;investing
ELET6;ELETROBRAS;energia_eletrica;investing
EMBR3;EMBRAER;bens_industriais;investing
